Altium Designer Pick and Place Locations
C:\Users\barko\Desktop\Daniil\Dimamomd\DiamondPolishing\PCB\Project Outputs for DiamondPolishing\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       29.03.25
Time:       17:42
Revision:   8cd68e0d0245c6dba7c90dada533f3e9eca3d346
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                              ChipDip    Model                  Type         Value      
FID1       FIDUCIAL               BottomLayer FIDUCIAL                      4100.000      2970.000      180      "Реперная метка"                         ""         ""                     FIDUCIAL     ""         
FID2       FIDUCIAL               BottomLayer FIDUCIAL                      1330.000      4405.000      180      "Реперная метка"                         ""         ""                     FIDUCIAL     ""         
FID3       FIDUCIAL               TopLayer    FIDUCIAL                      2700.000      4630.000      0        "Реперная метка"                         ""         ""                     FIDUCIAL     ""         
FID4       FIDUCIAL               TopLayer    FIDUCIAL                      4100.000      2970.000      0        "Реперная метка"                         ""         ""                     FIDUCIAL     ""         
FID5       FIDUCIAL               TopLayer    FIDUCIAL                      1285.000      2325.000      0        "Реперная метка"                         ""         ""                     FIDUCIAL     ""         
FID6       FIDUCIAL               BottomLayer FIDUCIAL                      1670.000      2970.000      180      "Реперная метка"                         ""         ""                     FIDUCIAL     ""         
C44        "0,1 мк"               TopLayer    CAP_0603                      1290.000      4035.000      270      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
U9         IP4220CZ6              BottomLayer NXP-SOT457_L                  2550.000      3460.000      360      "Сборка защитных диодов"                 9001067611 IP4220CZ6              IC           ""         
R21        100                    BottomLayer RES_0603                      2680.000      3270.000      360      Резистор                                 ""         ""                     RESISTOR     100        
R20        100                    BottomLayer RES_0603                      2680.000      3350.000      360      Резистор                                 ""         ""                     RESISTOR     100        
R24        100                    BottomLayer RES_0603                      2680.000      2970.000      0        Резистор                                 ""         ""                     RESISTOR     100        
R23        100                    BottomLayer RES_0603                      2680.000      2820.000      0        Резистор                                 ""         ""                     RESISTOR     100        
R22        100                    BottomLayer RES_0603                      2680.000      2900.000      0        Резистор                                 ""         ""                     RESISTOR     100        
R25        100                    BottomLayer RES_0603                      2680.000      3420.000      0        Резистор                                 ""         ""                     RESISTOR     100        
R19        100                    BottomLayer RES_0603                      2680.000      3200.000      0        Резистор                                 ""         ""                     RESISTOR     100        
R18        100                    BottomLayer RES_0603                      2680.000      3120.000      0        Резистор                                 ""         ""                     RESISTOR     100        
R17        100                    BottomLayer RES_0603                      2680.000      3050.000      0        Резистор                                 ""         ""                     RESISTOR     100        
U8         IP4220CZ6              BottomLayer NXP-SOT457_L                  2550.000      3310.000      360      "Сборка защитных диодов"                 9001067611 IP4220CZ6              IC           ""         
U7         IP4220CZ6              BottomLayer NXP-SOT457_L                  2550.000      3160.000      360      "Сборка защитных диодов"                 9001067611 IP4220CZ6              IC           ""         
U6         IP4220CZ6              BottomLayer NXP-SOT457_L                  2550.000      3010.000      0        "Сборка защитных диодов"                 9001067611 IP4220CZ6              IC           ""         
U5         IP4220CZ6              BottomLayer NXP-SOT457_L                  2550.000      2860.000      0        "Сборка защитных диодов"                 9001067611 IP4220CZ6              IC           ""         
U17        SN74LVC1T45DCKR        TopLayer    DCK0006A_L                    1395.000      3910.000      360      "Конвертер уровней"                      9000140400 SN74LVC1T45DCKR        IC           ""         
U16        SN74LVC1T45DCKR        TopLayer    DCK0006A_L                    1395.000      4040.000      360      "Конвертер уровней"                      9000140400 SN74LVC1T45DCKR        IC           ""         
C41        "0,1 мк"               TopLayer    CAP_0603                      1515.000      4065.000      360      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
C43        "0,1 мк"               TopLayer    CAP_0603                      1295.000      3905.000      270      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
C42        "0,1 мк"               BottomLayer CAP_0603                      2325.000      2630.000      180      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
C34        "0,1 мк"               TopLayer    CAP_0603                      1240.000      2515.000      180      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
U12        ADS1110A0IDBVR         TopLayer    TI-DBV6_M                     1395.000      2670.000      90       "АЦП с I2C"                              2502826194 ADS1110A0IDBVR         IC           ""         
R46        "6,2 к"                TopLayer    RES_0603                      1285.000      2725.000      270      Резистор                                 9000079731 ""                     RESISTOR     "6,2 к"    
R45        "10 к"                 TopLayer    RES_0603                      1285.000      2595.000      90       Резистор                                 ""         ""                     RESISTOR     "10 к"     
R29        "4,7 к"                TopLayer    RES_0603                      1470.000      2775.000      180      Резистор                                 ""         ""                     RESISTOR     "4,7 к"    
R28        "4,7 к"                TopLayer    RES_0603                      1490.000      2590.000      270      Резистор                                 ""         ""                     RESISTOR     "4,7 к"    
C31        "0,1 мк"               TopLayer    CAP_0603                      1365.000      2775.000      180      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
R40        100                    TopLayer    RES_0603                      2630.000      2465.000      90       Резистор                                 ""         ""                     RESISTOR     100        
R36        100                    TopLayer    RES_0603                      2260.000      2465.000      90       Резистор                                 ""         ""                     RESISTOR     100        
U4         IP4220CZ6              BottomLayer NXP-SOT457_L                  1815.000      2340.000      90       "Сборка защитных диодов"                 9001067611 IP4220CZ6              IC           ""         
C32        "22 мк"                TopLayer    TANTAL_B                      1329.685      3265.000      270      "Танталовый конденсатор"                 9000629219 ""                     CAP_TANTALUM "22 мк"    
VD6        BAT54S                 BottomLayer ONSC-SOT-323-3-419-04_V       1285.000      2725.000      180      "Пара последовательных диодов"           9001106105 BAT54S                 DIODE        ""         
VD5        BAT54S                 BottomLayer ONSC-SOT-323-3-419-04_V       1285.000      2615.000      180      "Пара последовательных диодов"           9001106105 BAT54S                 DIODE        ""         
U19        SN65HVD251DR           BottomLayer D0008A_N                      2410.000      2255.000      360      "Драйвер CAN"                            9000342409 SN65HVD251DR           IC           ""         
R48        100                    BottomLayer RES_0603                      1105.000      2640.000      180      Резистор                                 ""         ""                     RESISTOR     100        
R59        "10 к"                 TopLayer    RES_0603                      2440.000      2865.000      270      Резистор                                 ""         ""                     RESISTOR     "10 к"     
R58        "10 к"                 TopLayer    RES_0603                      2495.000      2865.000      270      Резистор                                 ""         ""                     RESISTOR     "10 к"     
R61        "10 к"                 BottomLayer RES_0603                      2610.000      2180.000      180      Резистор                                 ""         ""                     RESISTOR     "10 к"     
C39        "0,1 мк"               BottomLayer CAP_0603                      1215.000      2770.000      360      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
C46        "0,1 мк"               BottomLayer CAP_0603                      2240.000      2250.000      270      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "0,1 мк"   
C45        "22 мк"                BottomLayer TANTAL_B                      2095.000      2269.685      180      "Танталовый конденсатор"                 9000629219 ""                     CAP_TANTALUM "22 мк"    
U13        TP8485E-SR             BottomLayer FP-D0008A-MFG                 1465.000      3265.000      180      "Конвертер UART <-> RS485"               9001699468 TP8485E-SR             IC           ""         
U18        DS90LV047ATMTC/NOPB    BottomLayer MTC16_M                       2410.000      2485.000      360      "Драйвер LVDS"                           9000448213 DS90LV047ATMTC/NOPB    IC           ""         
SW1        "KLS7-TS3401- 2,5-180" TopLayer    FP-PTS810_SJG_250_SMTR_LF-MFG 2215.000      2300.000      270      Кнопка                                   9000372886 "KLS7-TS3401- 2,5-180" SWITCH       ""         
R35        "10 к"                 TopLayer    RES_0603                      2170.000      2465.000      90       Резистор                                 ""         ""                     RESISTOR     "10 к"     
R34        150                    TopLayer    RES_0603                      2090.000      2435.000      270      Резистор                                 ""         ""                     RESISTOR     150        
R33        150                    TopLayer    RES_0603                      2040.000      2435.000      270      Резистор                                 ""         ""                     RESISTOR     150        
R32        150                    TopLayer    RES_0603                      1990.000      2435.000      270      Резистор                                 ""         ""                     RESISTOR     150        
C24        "4,7 мк"               TopLayer    CAP_0805                      2215.000      2560.000      360      "Керамический конденсатор"               ""         ""                     CAP_CERAMIC  "4,7 мк"   
U14        AD8495CRMZ             TopLayer    FP-RM-8-IPC_A                 1195.000      2670.000      90       "Усилитель термопары"                    9000996824 AD8495CRMZ             IC           ""         
R38        100                    TopLayer    RES_0603                      2445.000      2465.000      90       Резистор                                 ""         ""                     RESISTOR     100        
D5         FYLS-0605RGBC-CA       TopLayer    150080M153000                 2015.925      2300.000      90       "RGB светодиод"                          9001271035 FYLS-0605RGBC-CA       LED          ""         
