Change Component Footprint: Designator=K? Old Footprint=PNSC-LQ-4-2000x1000x1600_V New Footprint=FP-2-1419129-5-MFG
Change Component Comment : Designator=K? Old Comment=ALQ324 New Comment=2-1419129-5
Change component parameters: Designator = "K?"; Footprint = "FP-2-1419129-5-MFG"; UniqueID = "\HEAQFBMF"
Change component parameters. Clean all parameters for all variants
Change component parameters (AddParameter): Name = "Ambient Temperature Range High"; Value = "+70°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-30°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Relay"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Coil Power"; Value = "200mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Coil Resistance"; Value = "720?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Coil Type"; Value = "Non-Latching"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Coil Voltage"; Value = "12V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FOJ_OJE_series_relay_data_sheet_E%7F0318%7Fpdf%7FEnglish%7FENG_DS_OJ_OJE_series_relay_data_sheet_E_0318.pdf%7F2-1419129-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "8A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L1"; Value = "Electromechanical"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L2"; Value = "Relays"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Device Class L3"; Value = "Power Relays"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Digikey Description"; Value = "RELAY GEN PURPOSE SPST 8A 12V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "15.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "2-1419129-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mouser Description"; Value = "General Purpose Relays OJ-SS-112LMH 000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Contacts"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Octopart"; Value = "https://octopart.com/2-1419129-5-te+connectivity-40690345"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "2-1419129-5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Throw Configuration"; Value = "SPST-NO"; VariantName = "[No Variations]"
