Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Removed Pin From Net: NetName=GND Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
Added Pin To Net: NetName=12 V Pin=X5-1
